SRA,Sample name,BioSample,Organism,Accession,ID
SRS24287959,VXV20216,SAMN44769329,human skin metagenome,SAMN44769329,44769329
SRS24287958,VXV20215,SAMN44769328,human skin metagenome,SAMN44769328,44769328
SRS24287956,VXV20214,SAMN44769327,human skin metagenome,SAMN44769327,44769327
SRS24287955,VXV20213,SAMN44769326,human skin metagenome,SAMN44769326,44769326
SRS24287954,VXV20212,SAMN44769325,human skin metagenome,SAMN44769325,44769325
SRS24287953,VXV20210,SAMN44769324,human skin metagenome,SAMN44769324,44769324
SRS24287952,VXV20209,SAMN44769323,human skin metagenome,SAMN44769323,44769323
SRS24287951,VXV20208,SAMN44769322,human skin metagenome,SAMN44769322,44769322
SRS24287950,VXV20206,SAMN44769321,human skin metagenome,SAMN44769321,44769321
SRS24287949,VXV20205,SAMN44769320,human skin metagenome,SAMN44769320,44769320
SRS24287948,VXV20204,SAMN44769319,human skin metagenome,SAMN44769319,44769319
SRS24287946,VXV20203,SAMN44769318,human skin metagenome,SAMN44769318,44769318
SRS24287945,VXV20201,SAMN44769317,human skin metagenome,SAMN44769317,44769317
SRS24287944,VXV20200,SAMN44769316,human skin metagenome,SAMN44769316,44769316
SRS24287943,VXV20199,SAMN44769315,human skin metagenome,SAMN44769315,44769315
SRS24287942,VXV20198,SAMN44769314,human skin metagenome,SAMN44769314,44769314
SRS24287941,VXV20197,SAMN44769313,human skin metagenome,SAMN44769313,44769313
SRS24287940,VXV20196,SAMN44769312,human skin metagenome,SAMN44769312,44769312
SRS24287939,VXV20195,SAMN44769311,human skin metagenome,SAMN44769311,44769311
SRS24287937,VXV20193,SAMN44769310,human skin metagenome,SAMN44769310,44769310
SRS24287926,VXV20192,SAMN44769309,human skin metagenome,SAMN44769309,44769309
SRS24288024,VXV20191,SAMN44769308,human skin metagenome,SAMN44769308,44769308
SRS24288013,VXV20190,SAMN44769307,human skin metagenome,SAMN44769307,44769307
SRS24288002,VXV20189,SAMN44769306,human skin metagenome,SAMN44769306,44769306
SRS24287991,VXV20188,SAMN44769305,human skin metagenome,SAMN44769305,44769305
SRS24287980,VXV20187,SAMN44769304,human skin metagenome,SAMN44769304,44769304
